UR	SF	FREQ
ʐɨzɕ	ʐɨsɕ	1
ʐsɛV	ʂsɛv	1
tidk	titk	1
suʑp	suɕp	1
ɕjfz	ɕjvz	1
gukf	gukf	1
fzjf	vzjf	1
vdɛs	vdɛs	1
sfwp	sfwp	1
ʑɔVʑ	ʑɔvʑ	1
pɨkz	pɨgz	1
ʑaʐs	ʑaʂs	1
bbiʑ	bbiʑ	1
bʂud	pʂud	1
sɔvk	sɔfk	1
vkɛf	fkɛf	1
ʐjʂʂ	ʐjʂʂ	1
kʑjʂ	gʑjʂ	1
tɛff	tɛff	1
ʑʂwp	ɕʂwp	1
sjgʂ	sjkʂ	1
ɕʐjɕ	ʑʐjɕ	1
tpiV	tpiv	1
gɨʐz	gɨʐz	1
ʂɨʐɕ	ʂɨʂɕ	1
tkɛp	tkɛp	1
Vɔʐɕ	vɔʂɕ	1
vɕiV	fɕiv	1
dɕjf	tɕjf	1
ʂkuV	ʂkuv	1
pufʂ	pufʂ	1
ʂaʑz	ʂaʑz	1
ziʑg	ziʑg	1
vkɔz	fkɔz	1
fɨss	fɨss	1
zabV	zabv	1
ɕiVg	ɕivg	1
ʑdwp	ʑdwp	1
Vɛsf	vɛsf	1
djɕV	djɕv	1
zɨʂf	zɨʂf	1
ɕɛbv	ɕɛbv	1
tkɛd	tkɛd	1
bwsɕ	bwsɕ	1
sʑug	zʑug	1
ɕzaɕ	ʑzaɕ	1
ʂɕɔs	ʂɕɔs	1
ɕuɕd	ɕuʑd	1
dɔfz	dɔvz	1
paʂs	paʂs	1
ɕvɔʂ	ʑvɔʂ	1
ʂtub	ʂtub	1
dikʑ	digʑ	1
ʂtɨk	ʂtɨk	1
zɕuz	sɕuz	1
didd	didd	1
sdwʐ	zdwʐ	1
ɕvɨf	ʑvɨf	1
viʑs	viɕs	1
sviɕ	zviɕ	1
kagʂ	kakʂ	1
kɨds	kɨts	1
ɕjʐg	ɕjʐg	1
zʑɛʂ	zʑɛʂ	1
ʑʑɔʐ	ʑʑɔʐ	1
ztɔp	stɔp	1
ʂivp	ʂifp	1
daʐk	daʂk	1
tbiɕ	dbiɕ	1
pɔkd	pɔgd	1
sVɨp	svɨp	1
sɛʂɕ	sɛʂɕ	1
pɨpɕ	pɨpɕ	1
vzɔf	vzɔf	1
ʐpak	ʂpak	1
skwʂ	skwʂ	1
ɕʑɛp	ʑʑɛp	1
ʐvɔf	ʐvɔf	1
fbuz	vbuz	1
ɕɕɔt	ɕɕɔt	1
ʑtiʐ	ɕtiʐ	1
ʐɛpt	ʐɛpt	1
zwVv	zwvv	1
fʂɨɕ	fʂɨɕ	1
fjgf	fjkf	1
sɛkg	sɛgg	1
vufʑ	vuvʑ	1
sjff	sjff	1
ʂʑjv	ʐʑjv	1
taʂt	taʂt	1
ʂɨʑf	ʂɨɕf	1
gɨzʑ	gɨzʑ	1
dɔbz	dɔbz	1
swvd	swvd	1
ʂɕid	ʂɕid	1
fwʂv	fwʐv	1
pidz	pidz	1
Vɨʐg	vɨʐg	1
dfiɕ	tfiɕ	1
pfɛd	pfɛd	1
kɨsp	kɨsp	1
tjgv	tjgv	1
tʐɛV	dʐɛv	1
bjbV	bjbv	1
Vzɨf	vzɨf	1
tifg	tivg	1
ʂsuʐ	ʂsuʐ	1
zpib	spib	1
Vɨpz	vɨbz	1
dwɕt	dwɕt	1
Vtɨz	ftɨz	1
kɕik	kɕik	1
ʂkiV	ʂkiv	1
vɔɕb	vɔʑb	1
ʂwsʐ	ʂwzʐ	1
kivs	kifs	1
dɕɨV	tɕɨv	1
ʐwfk	ʐwfk	1
Vʑɨk	vʑɨk	1
psjd	psjd	1
vusg	vuzg	1
swkf	swkf	1
ʂVuʐ	ʂvuʐ	1
bʑɛʂ	bʑɛʂ	1
ʑɨʑv	ʑɨʑv	1
ʂiVg	ʂivg	1
dgɔs	dgɔs	1
pjVt	pjft	1
kʂiɕ	kʂiɕ	1
sigf	sikf	1
twʂs	twʂs	1
vzɔz	vzɔz	1
ʑɔgʑ	ʑɔgʑ	1
ʐuVʑ	ʐuvʑ	1
ʑutb	ʑudb	1
bɛʑf	bɛɕf	1
gtaV	ktav	1
kzɨg	gzɨg	1
ʑfɛɕ	ɕfɛɕ	1
pviʐ	bviʐ	1
ʐɨʑʐ	ʐɨʑʐ	1
ʂpws	ʂpws	1
ɕapV	ɕapv	1
ʐɕag	ʂɕag	1
fɨgb	fɨgb	1
ʂɨpʂ	ʂɨpʂ	1
djVs	djfs	1
bgɛb	bgɛb	1
ʐwVʐ	ʐwvʐ	1
gagz	gagz	1
ʂɕit	ʂɕit	1
vbuʐ	vbuʐ	1
dfwt	tfwt	1
tʑwʂ	dʑwʂ	1
ʂɕuv	ʂɕuv	1
sɨɕp	sɨɕp	1
pɕjk	pɕjk	1
ʂʂjp	ʂʂjp	1
puʐʑ	puʐʑ	1
ɕʂwf	ɕʂwf	1
ɕɕws	ɕɕws	1
dsɨV	tsɨv	1
ɕsɔb	ɕsɔb	1
vwɕɕ	vwɕɕ	1
dʂuz	tʂuz	1
tsɛʐ	tsɛʐ	1
gVwp	gvwp	1
bisz	bizz	1
bgaɕ	bgaɕ	1
zwtʐ	zwdʐ	1
pgiʑ	bgiʑ	1
sɔɕd	sɔʑd	1
fwɕʐ	fwʑʐ	1
gviʑ	gviʑ	1
vɨdg	vɨdg	1
fʑɔɕ	vʑɔɕ	1
kapʑ	kabʑ	1
ppwɕ	ppwɕ	1
szɨs	zzɨs	1
zʑɨp	zʑɨp	1
vjps	vjps	1
ʑkwp	ɕkwp	1
tʐɔɕ	dʐɔɕ	1
twVk	twfk	1
kɕis	kɕis	1
tɔVd	tɔvd	1
ʑdup	ʑdup	1
puvk	pufk	1
ʑɔfk	ʑɔfk	1
ɕwkd	ɕwgd	1
tʐɨd	dʐɨd	1
piʂf	piʂf	1
tsaz	tsaz	1
zgut	zgut	1
kɨgz	kɨgz	1
Vjfp	vjfp	1
bzɔʂ	bzɔʂ	1
fgjz	vgjz	1
VwdV	vwdv	1
zɨpV	zɨpv	1
vɛsk	vɛsk	1
Vdɛd	vdɛd	1
bwɕV	bwɕv	1
ʐbup	ʐbup	1
ʂɨɕg	ʂɨʑg	1
zsup	ssup	1
gwtv	gwdv	1
ʂɨʐf	ʂɨʂf	1
zʂuʑ	sʂuʑ	1
kiʐs	kiʂs	1
sass	sass	1
kɨpv	kɨbv	1
bwpʑ	bwbʑ	1
dfɛʑ	tfɛʑ	1
Vfuv	ffuv	1
ʐʂwt	ʂʂwt	1
gʐɛg	gʐɛg	1
zɔVb	zɔvb	1
fdwɕ	vdwɕ	1
ʂɛst	ʂɛst	1
ʂɛʂk	ʂɛʂk	1
ʐzuɕ	ʐzuɕ	1
fpib	fpib	1
fuʑz	fuʑz	1
sjʑt	sjɕt	1
tɛfʂ	tɛfʂ	1
ssag	ssag	1
ʂɨvk	ʂɨfk	1
ʑɛVb	ʑɛvb	1
ʑɛfʐ	ʑɛvʐ	1
fwgf	fwkf	1
sɛʐz	sɛʐz	1
vwkv	vwgv	1
btif	ptif	1
bʂɔʂ	pʂɔʂ	1
pɕwb	pɕwb	1
ʑfɛʂ	ɕfɛʂ	1
faʐʂ	faʂʂ	1
pbjʂ	bbjʂ	1
sɛpk	sɛpk	1
tʂid	tʂid	1
ʂɔgk	ʂɔkk	1
fsuɕ	fsuɕ	1
ʑsws	ɕsws	1
ɕzaf	ʑzaf	1
fɛtf	fɛtf	1
kjVʂ	kjfʂ	1
ftɨd	ftɨd	1
duɕʂ	duɕʂ	1
Vtit	ftit	1
ʐʂɔt	ʂʂɔt	1
zipg	zibg	1
ʑbaʂ	ʑbaʂ	1
kwgf	kwkf	1
btwk	ptwk	1
gɛʐk	gɛʂk	1
ʐɛsb	ʐɛzb	1
ɕVaɕ	ɕvaɕ	1
vsɔp	fsɔp	1
ʑfiɕ	ɕfiɕ	1
zzɔf	zzɔf	1
bɨʑd	bɨʑd	1
pswt	pswt	1
sʐuʑ	zʐuʑ	1
bɔfs	bɔfs	1
tkɨʂ	tkɨʂ	1
