UR	SF	FREQ
ɕwfʐ	ɕwvʐ	1
guzɕ	gusɕ	1
sɨʐs	sɨʂs	1
sɕɨʂ	sɕɨʂ	1
kʑip	gʑip	1
bɕɔʑ	pɕɔʑ	1
Vbaʐ	vbaʐ	1
kpaɕ	kpaɕ	1
zɔks	zɔks	1
gukd	gugd	1
pʐɛɕ	bʐɛɕ	1
ʑʐjʑ	ʑʐjʑ	1
ʂjps	ʂjps	1
bfiʂ	pfiʂ	1
ʐʐɔk	ʐʐɔk	1
ʑʂɨg	ɕʂɨg	1
kgɛp	ggɛp	1
zʂap	sʂap	1
pubk	pupk	1
ɕgik	ʑgik	1
dɨft	dɨft	1
pgap	bgap	1
fɨVf	fɨff	1
ʑVid	ʑvid	1
ʐtɨz	ʂtɨz	1
Vɔʂt	vɔʂt	1
ʂugf	ʂukf	1
Vukʐ	vugʐ	1
fɛʐg	fɛʐg	1
bɔʂɕ	bɔʂɕ	1
dpug	tpug	1
zdjt	zdjt	1
ʂVɨg	ʂvɨg	1
zwpb	zwbb	1
bwɕk	bwɕk	1
zasp	zasp	1
gɛVf	gɛff	1
fiʂb	fiʐb	1
ʑɛVɕ	ʑɛfɕ	1
ʑpiʑ	ɕpiʑ	1
tɛdʑ	tɛdʑ	1
ktɔg	ktɔg	1
sɨzɕ	sɨsɕ	1
guʑz	guʑz	1
ʐViz	ʐviz	1
ʐVɨɕ	ʐvɨɕ	1
ttɛʑ	ttɛʑ	1
sʂib	sʂib	1
dɛVg	dɛvg	1
fɔVb	fɔvb	1
bpɔd	ppɔd	1
sɛʂk	sɛʂk	1
ʐtjb	ʂtjb	1
zɔtt	zɔtt	1
swsb	swzb	1
ʐpɨk	ʂpɨk	1
paʂz	paʐz	1
tɨzʐ	tɨzʐ	1
kɨʑɕ	kɨɕɕ	1
kjsb	kjzb	1
Vpjg	fpjg	1
Vfjɕ	ffjɕ	1
ʐtuV	ʂtuv	1
ʐʑɛg	ʐʑɛg	1
swfz	swvz	1
zubg	zubg	1
djʂz	djʐz	1
Vɕuɕ	fɕuɕ	1
ktɛp	ktɛp	1
sdɛz	zdɛz	1
ʑɛVt	ʑɛft	1
ʐɛbʂ	ʐɛpʂ	1
ʂjʐz	ʂjʐz	1
ʂjpt	ʂjpt	1
ʂigg	ʂigg	1
ʑɨzg	ʑɨzg	1
gfɛɕ	kfɛɕ	1
gVaz	gvaz	1
psaʂ	psaʂ	1
tuss	tuss	1
Vɛʑp	vɛɕp	1
zɛtd	zɛdd	1
ɕjsʂ	ɕjsʂ	1
ʑbɛʐ	ʑbɛʐ	1
swfp	swfp	1
tʂɛk	tʂɛk	1
ʐjʂt	ʐjʂt	1
zazb	zazb	1
zakk	zakk	1
tʐaʂ	dʐaʂ	1
kʑjʑ	gʑjʑ	1
ʂɛʂf	ʂɛʂf	1
ʐʑit	ʐʑit	1
ppɛd	ppɛd	1
sɔʐV	sɔʐv	1
pfit	pfit	1
sɛsg	sɛzg	1
tzɨɕ	dzɨɕ	1
tzis	dzis	1
ʂbag	ʐbag	1
zafʂ	zafʂ	1
ʑjVg	ʑjvg	1
ʂukf	ʂukf	1
ʂfad	ʂfad	1
ɕtɔf	ɕtɔf	1
tafd	tavd	1
fbjb	vbjb	1
fiʐt	fiʂt	1
zɨbk	zɨpk	1
ʐtuʐ	ʂtuʐ	1
ʑaft	ʑaft	1
swkʂ	swkʂ	1
Vʐɛt	vʐɛt	1
ɕtap	ɕtap	1
sʑɨf	zʑɨf	1
bfjʂ	pfjʂ	1
Vizʂ	visʂ	1
dtjb	ttjb	1
sazʑ	sazʑ	1
bɨʑɕ	bɨɕɕ	1
bɨbs	bɨps	1
suɕʑ	suʑʑ	1
bVjt	bvjt	1
zɨɕb	zɨʑb	1
ʂtuV	ʂtuv	1
Vidg	vidg	1
ʐkɔg	ʂkɔg	1
Viff	viff	1
gdub	gdub	1
kaʂk	kaʂk	1
ʐtug	ʂtug	1
dɔks	dɔks	1
ʂtɛk	ʂtɛk	1
dʑas	dʑas	1
zkɔɕ	skɔɕ	1
sʑɛg	zʑɛg	1
Vakʑ	vagʑ	1
bɨkf	bɨkf	1
gVjʑ	gvjʑ	1
btɔg	ptɔg	1
ʐifp	ʐifp	1
zʐaɕ	zʐaɕ	1
gkɛk	kkɛk	1
ʐɨtb	ʐɨdb	1
tɔbb	tɔbb	1
fsaʂ	fsaʂ	1
bɔkg	bɔgg	1
gjʂs	gjʂs	1
zɨkt	zɨkt	1
ʑʑɔg	ʑʑɔg	1
tɔzʑ	tɔzʑ	1
pɛʑd	pɛʑd	1
bjɕʂ	bjɕʂ	1
ttip	ttip	1
zubʑ	zubʑ	1
gsaV	ksav	1
ʑsɛs	ɕsɛs	1
sɕaʐ	sɕaʐ	1
ʂʂas	ʂʂas	1
ʂʑɔʐ	ʐʑɔʐ	1
faVk	fafk	1
ʂɨbz	ʂɨbz	1
ʐpjs	ʂpjs	1
ɕɔɕd	ɕɔʑd	1
zɔVz	zɔvz	1
swtg	swdg	1
Viʐz	viʐz	1
fdɛf	vdɛf	1
pʑwz	bʑwz	1
zupʑ	zubʑ	1
ɕʑup	ʑʑup	1
ditʂ	ditʂ	1
zɨbb	zɨbb	1
ʂtɨʑ	ʂtɨʑ	1
zzuʐ	zzuʐ	1
gɕɛV	kɕɛv	1
zɕɔb	sɕɔb	1
ʑɨgk	ʑɨkk	1
Vabf	vapf	1
fwʑg	fwʑg	1
ʐibɕ	ʐipɕ	1
gɛʑʂ	gɛɕʂ	1
tigʐ	tigʐ	1
pwsg	pwzg	1
ʐwzp	ʐwsp	1
ʑaɕʐ	ʑaʑʐ	1
ʐsɔb	ʂsɔb	1
tadg	tadg	1
ʑʑɔd	ʑʑɔd	1
ppɨɕ	ppɨɕ	1
zɛfz	zɛvz	1
kwff	kwff	1
tʐjt	dʐjt	1
ɕpap	ɕpap	1
ʐgjV	ʐgjv	1
ʐɕɨp	ʂɕɨp	1
kʂwt	kʂwt	1
ʂafs	ʂafs	1
zaʑɕ	zaɕɕ	1
kɛfɕ	kɛfɕ	1
ʂitz	ʂidz	1
bɕaz	pɕaz	1
kabs	kaps	1
gʐɔʑ	gʐɔʑ	1
ɕzjʑ	ʑzjʑ	1
taʐs	taʂs	1
Vgɛf	vgɛf	1
gɛsd	gɛzd	1
ʐpjf	ʂpjf	1
kuts	kuts	1
zubz	zubz	1
zsɨb	ssɨb	1
buʐʐ	buʐʐ	1
ʑjbs	ʑjps	1
dʑat	dʑat	1
Vʂaz	fʂaz	1
ʐutɕ	ʐutɕ	1
sbwɕ	zbwɕ	1
suʂk	suʂk	1
Vɕaɕ	fɕaɕ	1
sgɔg	zgɔg	1
fuzf	fusf	1
tuʐs	tuʂs	1
tgɔg	dgɔg	1
ʑɔpb	ʑɔbb	1
fɕif	fɕif	1
siʐʑ	siʐʑ	1
pʐit	bʐit	1
kɛVʂ	kɛfʂ	1
kɛkf	kɛkf	1
fusz	fuzz	1
tfiV	tfiv	1
bdɔf	bdɔf	1
bʐuk	bʐuk	1
Vgwf	vgwf	1
szas	zzas	1
sʂɛʂ	sʂɛʂ	1
tɔʐʑ	tɔʐʑ	1
kʂug	kʂug	1
fʐwp	vʐwp	1
kVaʑ	kvaʑ	1
gpiz	kpiz	1
VVɨs	vvɨs	1
pgɔʂ	bgɔʂ	1
tzjf	dzjf	1
sɔkp	sɔkp	1
ʂɨds	ʂɨts	1
pɛdg	pɛdg	1
ʐɛɕt	ʐɛɕt	1
gɛʑʑ	gɛʑʑ	1
buss	buss	1
tpwd	tpwd	1
putf	putf	1
kɛʐʂ	kɛʂʂ	1
zkwʑ	skwʑ	1
zzɨg	zzɨg	1
bkɔk	pkɔk	1
fkid	fkid	1
zsɔf	ssɔf	1
ʑuzf	ʑusf	1
tkik	tkik	1
Vzɛk	vzɛk	1
bpɛp	ppɛp	1
Vdɨz	vdɨz	1
tsɔt	tsɔt	1
suVk	sufk	1
tdiʐ	ddiʐ	1
zuzʂ	zusʂ	1
bjds	bjts	1
ʂʂid	ʂʂid	1
ʂbwp	ʐbwp	1
ɕibʐ	ɕibʐ	1
ʐʂap	ʂʂap	1
bupd	bubd	1
bʐiz	bʐiz	1
psuʂ	psuʂ	1
dɕɛV	tɕɛv	1
ʑVɛʐ	ʑvɛʐ	1
bkɛg	pkɛg	1
ViVʂ	vifʂ	1
swʑʂ	swɕʂ	1
Vɨff	vɨff	1
zɨʑɕ	zɨɕɕ	1
sɨkt	sɨkt	1
pgɔʑ	bgɔʑ	1
pwbg	pwbg	1
pɔʑʐ	pɔʑʐ	1
ʂɨʂʂ	ʂɨʂʂ	1
ʐɔpʂ	ʐɔpʂ	1
bɛɕt	bɛɕt	1
sʂas	sʂas	1
tzaʐ	dzaʐ	1
tkit	tkit	1
ɕkɔf	ɕkɔf	1
ʑɨzd	ʑɨzd	1
ʂgwʂ	ʐgwʂ	1
ʂɛpV	ʂɛpv	1
fɛsV	fɛsv	1
ʂɛdʂ	ʂɛtʂ	1
dpɔz	tpɔz	1
ɕwdɕ	ɕwtɕ	1
ggɨf	ggɨf	1
Vbɛʂ	vbɛʂ	1
zzɨd	zzɨd	1
Vɛdg	vɛdg	1
bwtɕ	bwtɕ	1
ɕwʑf	ɕwɕf	1
ggɛb	ggɛb	1
gtwV	ktwv	1
fɔtɕ	fɔtɕ	1
gags	gaks	1
safɕ	safɕ	1
dɨʑd	dɨʑd	1
gVuʑ	gvuʑ	1
ʂɔVʐ	ʂɔvʐ	1
sVup	svup	1
sʐjz	zʐjz	1
tɛdp	tɛtp	1
ɕɨdt	ɕɨtt	1
zʑaV	zʑav	1
kswp	kswp	1
gjgp	gjkp	1
psɔʑ	psɔʑ	1
zwVg	zwvg	1
suʑɕ	suɕɕ	1
ʐkɔʑ	ʂkɔʑ	1
ɕaʂt	ɕaʂt	1
kfjɕ	kfjɕ	1
zɨɕd	zɨʑd	1
sswk	sswk	1
ʂɔtʐ	ʂɔdʐ	1
fʐɛʑ	vʐɛʑ	1
swʂt	swʂt	1
fbɨd	vbɨd	1
sibz	sibz	1
ʐɔʂp	ʐɔʂp	1
djbʂ	djpʂ	1
ptws	ptws	1
kjʐɕ	kjʂɕ	1
pjzs	pjss	1
bʑɛd	bʑɛd	1
faVt	faft	1
dfjg	tfjg	1
pdiʂ	bdiʂ	1
Vʑws	vʑws	1
ɕadʐ	ɕadʐ	1
bakz	bagz	1
ʐʑwV	ʐʑwv	1
ʐkɨb	ʂkɨb	1
gutz	gudz	1
satp	satp	1
zwpʂ	zwpʂ	1
ʑʑup	ʑʑup	1
dzɨʐ	dzɨʐ	1
ɕsɨɕ	ɕsɨɕ	1
pjzz	pjzz	1
tɨbɕ	tɨpɕ	1
pʐɨp	bʐɨp	1
sswt	sswt	1
tpɨʑ	tpɨʑ	1
gpit	kpit	1
ɕjVʐ	ɕjvʐ	1
VɨfV	vɨfv	1
fɨVd	fɨvd	1
djpf	djpf	1
kpɔt	kpɔt	1
gtaz	ktaz	1
fʂɔʑ	fʂɔʑ	1
tɛgʑ	tɛgʑ	1
kkɛf	kkɛf	1
kkɨg	kkɨg	1
zɛʐb	zɛʐb	1
pzip	bzip	1
fʐab	vʐab	1
ztjf	stjf	1
tʂuʂ	tʂuʂ	1
ʂɛgg	ʂɛgg	1
zuzt	zust	1
ziʐʂ	ziʂʂ	1
tugz	tugz	1
tʑwV	dʑwv	1
ʐwsV	ʐwsv	1
zgɛʑ	zgɛʑ	1
zugt	zukt	1
ʐʂɛt	ʂʂɛt	1
gift	gift	1
Vʐws	vʐws	1
bɛʑf	bɛɕf	1
Vdap	vdap	1
kzɨV	gzɨv	1
tʑjʐ	dʑjʐ	1
tgak	dgak	1
zasz	zazz	1
ɕuʑk	ɕuɕk	1
diʐɕ	diʂɕ	1
sʐɨt	zʐɨt	1
sbwd	zbwd	1
tʑɔd	dʑɔd	1
spɨf	spɨf	1
ʑwʑɕ	ʑwɕɕ	1
tɕuk	tɕuk	1
Vzjf	vzjf	1
ɕfwʑ	ɕfwʑ	1
bdjz	bdjz	1
sɕɛg	sɕɛg	1
Vwbg	vwbg	1
ɕʐɔz	ʑʐɔz	1
ʑgig	ʑgig	1
gʑwb	gʑwb	1
ʑfɛk	ɕfɛk	1
zjdf	zjtf	1
ssɨʑ	ssɨʑ	1
fɛtV	fɛtv	1
fpɛʑ	fpɛʑ	1
tʐwV	dʐwv	1
ʂʂɛz	ʂʂɛz	1
pVjV	pvjv	1
tpɨɕ	tpɨɕ	1
fjpʑ	fjbʑ	1
dkɨb	tkɨb	1
bjsz	bjzz	1
stɨʑ	stɨʑ	1
tɔsʑ	tɔzʑ	1
ʑkub	ɕkub	1
psjt	psjt	1
ʂdɨf	ʐdɨf	1
Vabɕ	vapɕ	1
dɕɛp	tɕɛp	1
ʑɛgʂ	ʑɛkʂ	1
ʂɔfʂ	ʂɔfʂ	1
fjdt	fjtt	1
kuʑd	kuʑd	1
ʂɨkV	ʂɨkv	1
ktik	ktik	1
difʐ	divʐ	1
ddag	ddag	1
bʂjʑ	pʂjʑ	1
ʂgiz	ʐgiz	1
ɕkwʂ	ɕkwʂ	1
pʐag	bʐag	1
digt	dikt	1
ʑɨɕs	ʑɨɕs	1
ʐsuʂ	ʂsuʂ	1
ftɔb	ftɔb	1
ɕwpb	ɕwbb	1
bɔkɕ	bɔkɕ	1
sazz	sazz	1
ʂzɨt	ʐzɨt	1
gɕwʑ	kɕwʑ	1
pɛkp	pɛkp	1
gdak	gdak	1
tjzV	tjzv	1
fɛʐb	fɛʐb	1
fʐub	vʐub	1
zɛɕʑ	zɛʑʑ	1
zɛʂd	zɛʐd	1
pidt	pitt	1
tgwg	dgwg	1
tVɨʐ	tvɨʐ	1
tzwV	dzwv	1
ʂʂɨt	ʂʂɨt	1
kɔɕg	kɔʑg	1
dzjg	dzjg	1
ʂbup	ʐbup	1
ʐfaz	ʂfaz	1
fgɔk	vgɔk	1
baʐʑ	baʐʑ	1
kbɛʑ	gbɛʑ	1
ʂjtk	ʂjtk	1
pɨzt	pɨst	1
gtɔf	ktɔf	1
Viʐf	viʂf	1
ztɔg	stɔg	1
tʑuf	dʑuf	1
bjVt	bjft	1
saVb	savb	1
Vabk	vapk	1
zwdd	zwdd	1
ddɛb	ddɛb	1
zɛgʑ	zɛgʑ	1
ʂfus	ʂfus	1
fdup	vdup	1
zʂjɕ	sʂjɕ	1
ɕgut	ʑgut	1
zfiʑ	sfiʑ	1
ʑɔgz	ʑɔgz	1
zɕɔp	sɕɔp	1
tgwɕ	dgwɕ	1
fibɕ	fipɕ	1
ʑʐif	ʑʐif	1
gɨtt	gɨtt	1
zfwʑ	sfwʑ	1
fjVp	fjfp	1
ʂfub	ʂfub	1
ʑʂiʐ	ɕʂiʐ	1
ʐɛgd	ʐɛgd	1
tɨʂʂ	tɨʂʂ	1
ɕkaʑ	ɕkaʑ	1
ʐʐut	ʐʐut	1
zuʑɕ	zuɕɕ	1
ɕtjʑ	ɕtjʑ	1
kɛtt	kɛtt	1
fuʐg	fuʐg	1
fɛgʐ	fɛgʐ	1
ʑʂɔb	ɕʂɔb	1
ʐaʐʂ	ʐaʂʂ	1
gaʑb	gaʑb	1
Vkwb	fkwb	1
ʑjps	ʑjps	1
pɛst	pɛst	1
ɕsiz	ɕsiz	1
ʑɔʐV	ʑɔʐv	1
ɕabs	ɕaps	1
gɔʐt	gɔʂt	1
tbɔp	dbɔp	1
ɕups	ɕups	1
Vuʑt	vuɕt	1
pfɛt	pfɛt	1
ʂizf	ʂisf	1
ʑʐɨʑ	ʑʐɨʑ	1
ʑizp	ʑisp	1
ʂiɕʐ	ʂiʑʐ	1
kwkt	kwkt	1
ʑsug	ɕsug	1
kwɕk	kwɕk	1
tips	tips	1
pbɔf	bbɔf	1
kfiɕ	kfiɕ	1
ʐɛsʂ	ʐɛsʂ	1
Vkuf	fkuf	1
twkɕ	twkɕ	1
tɛsʐ	tɛzʐ	1
ɕɔtʑ	ɕɔdʑ	1
gjzk	gjsk	1
zwsk	zwsk	1
pɔdt	pɔtt	1
fjbʑ	fjbʑ	1
sɔtʂ	sɔtʂ	1
Vigg	vigg	1
pɔʂz	pɔʐz	1
ʑgjp	ʑgjp	1
zbaɕ	zbaɕ	1
Visɕ	visɕ	1
tɔɕs	tɔɕs	1
Vsɔs	fsɔs	1
ktjʑ	ktjʑ	1
kʑwt	gʑwt	1
sʂɨʂ	sʂɨʂ	1
sɔkt	sɔkt	1
tbiʐ	dbiʐ	1
spɨb	spɨb	1
ʂɔpb	ʂɔbb	1
ʂudg	ʂudg	1
bʐɛɕ	bʐɛɕ	1
pbɨʐ	bbɨʐ	1
kɛsf	kɛsf	1
ftuɕ	ftuɕ	1
bzɨb	bzɨb	1
ʑiʂg	ʑiʐg	1
sʐup	zʐup	1
fɛʂt	fɛʂt	1
ʑiɕz	ʑiʑz	1
ʐɔkV	ʐɔkv	1
bɕɔt	pɕɔt	1
ptwV	ptwv	1
sVjʐ	svjʐ	1
zikV	zikv	1
gtwf	ktwf	1
puɕt	puɕt	1
takʑ	tagʑ	1
djgʂ	djkʂ	1
ʐutV	ʐutv	1
kʑiʑ	gʑiʑ	1
ɕʐwV	ʑʐwv	1
ʐakʐ	ʐagʐ	1
gdjʐ	gdjʐ	1
twsp	twsp	1
tbɔz	dbɔz	1
zuʑV	zuʑv	1
ʐVjp	ʐvjp	1
gjbg	gjbg	1
gɛgd	gɛgd	1
kjʑk	kjɕk	1
ɕtiz	ɕtiz	1
gʂwd	kʂwd	1
ʑɔzk	ʑɔsk	1
sabf	sapf	1
baɕz	baʑz	1
fzab	vzab	1
zViV	zviv	1
ɕɔʂʐ	ɕɔʐʐ	1
Vɔʐb	vɔʐb	1
ɕɛʑʑ	ɕɛʑʑ	1
sɨpɕ	sɨpɕ	1
gɔpf	gɔpf	1
kdwʐ	gdwʐ	1
pfap	pfap	1
ʂzik	ʐzik	1
pdjʂ	bdjʂ	1
sɨzV	sɨzv	1
dɨpʂ	dɨpʂ	1
ʐdjt	ʐdjt	1
zazs	zass	1
dɨʂb	dɨʐb	1
ʂɨtɕ	ʂɨtɕ	1
pbag	bbag	1
ɕVɛʐ	ɕvɛʐ	1
ɕwbʂ	ɕwpʂ	1
Vɨʑʂ	vɨɕʂ	1
ʐɔkz	ʐɔgz	1
ʐɕɔt	ʂɕɔt	1
tɛtk	tɛtk	1
saɕg	saʑg	1
kɔkɕ	kɔkɕ	1
zɔsʑ	zɔzʑ	1
dpɔk	tpɔk	1
ʂuVb	ʂuvb	1
tpiʑ	tpiʑ	1
bɛks	bɛks	1
kjʂg	kjʐg	1
fɨts	fɨts	1
tɛzs	tɛss	1
ɕʑɔt	ʑʑɔt	1
ɕjʂz	ɕjʐz	1
kʂup	kʂup	1
ʐatʂ	ʐatʂ	1
ʐdjb	ʐdjb	1
tabg	tabg	1
gusb	guzb	1
dpjf	tpjf	1
tdjd	ddjd	1
gbwʂ	gbwʂ	1
djgʑ	djgʑ	1
gitf	gitf	1
dfɨs	tfɨs	1
ʐziz	ʐziz	1
Vjbt	vjpt	1
ʑigt	ʑikt	1
ʐjtz	ʐjdz	1
ʐɨVV	ʐɨvv	1
tɔdɕ	tɔtɕ	1
Vuʂʐ	vuʐʐ	1
Vʑjt	vʑjt	1
kʐaɕ	gʐaɕ	1
dwfp	dwfp	1
ʐsid	ʂsid	1
ʐʂɛz	ʂʂɛz	1
sɛʐp	sɛʂp	1
kɛtʐ	kɛdʐ	1
zzwb	zzwb	1
dwzd	dwzd	1
kpɨk	kpɨk	1
Vgɛz	vgɛz	1
ʑbit	ʑbit	1
bsɛs	psɛs	1
tɔtk	tɔtk	1
ʂwɕg	ʂwʑg	1
tʂwɕ	tʂwɕ	1
ʐɕɨb	ʂɕɨb	1
Vuʑʑ	vuʑʑ	1
gbɔg	gbɔg	1
ʐsɔɕ	ʂsɔɕ	1
Vitf	vitf	1
VVɔɕ	vvɔɕ	1
zzɛp	zzɛp	1
Visʐ	vizʐ	1
ʂɨgz	ʂɨgz	1
ʂfwʐ	ʂfwʐ	1
pudʑ	pudʑ	1
dɨpɕ	dɨpɕ	1
gVit	gvit	1
kasʂ	kasʂ	1
zaVk	zafk	1
ʐwdp	ʐwtp	1
ddɔʑ	ddɔʑ	1
gzaV	gzav	1
tjfɕ	tjfɕ	1
btɛz	ptɛz	1
tsab	tsab	1
Vɔʂb	vɔʐb	1
Vʑɨf	vʑɨf	1
ɕugV	ɕugv	1
ʂɨfs	ʂɨfs	1
ɕtwz	ɕtwz	1
ʂafɕ	ʂafɕ	1
kɛgd	kɛgd	1
task	task	1
ʂʐɨd	ʐʐɨd	1
gɕuV	kɕuv	1
puzg	puzg	1
dɛkʐ	dɛgʐ	1
ddɨf	ddɨf	1
sɕig	sɕig	1
ʂsip	ʂsip	1
ʂbuɕ	ʐbuɕ	1
sbwʂ	zbwʂ	1
bjVV	bjvv	1
gubʐ	gubʐ	1
tiɕɕ	tiɕɕ	1
dtuʂ	ttuʂ	1
bɔdd	bɔdd	1
zafz	zavz	1
fʑid	vʑid	1
kzud	gzud	1
pkad	pkad	1
fakt	fakt	1
tɛss	tɛss	1
tigd	tigd	1
fɨpf	fɨpf	1
fɨʑs	fɨɕs	1
gafʑ	gavʑ	1
ɕwdʑ	ɕwdʑ	1
bdwʐ	bdwʐ	1
sfad	sfad	1
ʂaʑʑ	ʂaʑʑ	1
zwsʐ	zwzʐ	1
zVid	zvid	1
Vʐɨɕ	vʐɨɕ	1
pɔgʐ	pɔgʐ	1
ʑupV	ʑupv	1
gɨkk	gɨkk	1
ɕɨkz	ɕɨgz	1
ɕɔVd	ɕɔvd	1
Vagʑ	vagʑ	1
