UR	SF	FREQ
vʑɨp	vʑɨp	1
vsɨʂ	fsɨʂ	1
ɕkɔz	ɕkɔs	1
fjɕs	fjɕs	1
ʐtid	ʂtit	1
zdav	zdaf	1
kiVv	kivf	1
gjʐb	gjʐp	1
bɕut	pɕut	1
tubf	tupf	1
fʐjz	vʐjs	1
satʂ	satʂ	1
vbjg	vbjk	1
piʐf	piʂf	1
vasd	vazt	1
skɛk	skɛk	1
fifz	fivs	1
kbɨv	gbɨf	1
bjgs	bjks	1
tɨVʑ	tɨvɕ	1
fʂɛz	fʂɛs	1
zwgs	zwks	1
kuvv	kuvf	1
Vfuʂ	ffuʂ	1
Viʐv	viʐf	1
pʐip	bʐip	1
vwɕt	vwɕt	1
Vibt	vipt	1
twbk	twpk	1
fjʐd	fjʐt	1
ʐʐiʂ	ʐʐiʂ	1
fwVs	fwfs	1
pɕjʑ	pɕjɕ	1
bɨsz	bɨzs	1
vfɨp	ffɨp	1
stjg	stjk	1
kpaʑ	kpaɕ	1
sɨɕV	sɨɕf	1
ɕzip	ʑzip	1
ʂɔɕt	ʂɔɕt	1
zɔvg	zɔvk	1
tVaʑ	tvaɕ	1
zjgs	zjks	1
ɕduʐ	ʑduʂ	1
ʑbwg	ʑbwk	1
fɕap	fɕap	1
Vɛɕf	vɛɕf	1
ʐɨtk	ʐɨtk	1
ɕɔfv	ɕɔvf	1
kzuk	gzuk	1
pVav	pvaf	1
gjts	gjts	1
Vfjʐ	ffjʂ	1
ʂuzf	ʂusf	1
dagz	dags	1
fpig	fpik	1
pifd	pivt	1
bjgp	bjkp	1
fzaʂ	vzaʂ	1
ziʑɕ	ziɕɕ	1
zʂɛt	sʂɛt	1
fjbt	fjpt	1
ʂjʐʑ	ʂjʐɕ	1
vʂɨg	fʂɨk	1
bjts	bjts	1
bzit	bzit	1
biss	biss	1
ɕʐaʑ	ʑʐaɕ	1
bjsV	bjsf	1
Vɛʑf	vɛɕf	1
bkik	pkik	1
ʐVwz	ʐvws	1
sfɛk	sfɛk	1
fbuz	vbus	1
ʑduV	ʑduf	1
ʂsib	ʂsip	1
ʑsig	ɕsik	1
bbɛt	bbɛt	1
ftwg	ftwk	1
ʑaʐv	ʑaʐf	1
ɕtit	ɕtit	1
kbwg	gbwk	1
fkɨʐ	fkɨʂ	1
ʑkaʐ	ɕkaʂ	1
fɛgv	fɛgf	1
vɔps	vɔps	1
dɔtk	dɔtk	1
gɛdk	gɛtk	1
ɕɕɛp	ɕɕɛp	1
tgɨd	dgɨt	1
ʂɨkɕ	ʂɨkɕ	1
ttap	ttap	1
VɨVt	vɨft	1
Vɔbs	vɔps	1
sjsʂ	sjsʂ	1
vʑɨg	vʑɨk	1
ɕaVd	ɕavt	1
ʐzɨʂ	ʐzɨʂ	1
susɕ	susɕ	1
tutf	tutf	1
kɨfʂ	kɨfʂ	1
fagɕ	fakɕ	1
tidʑ	tidɕ	1
ɕʑuv	ʑʑuf	1
sʑaʂ	zʑaʂ	1
ɕpwʐ	ɕpwʂ	1
dɨɕv	dɨʑf	1
vVɛf	vvɛf	1
fpwt	fpwt	1
vjkV	vjkf	1
fibʂ	fipʂ	1
ʐɛʑV	ʐɛʑf	1
ʑɕug	ɕɕuk	1
pubk	pupk	1
ʑpaz	ɕpas	1
bʂuʂ	pʂuʂ	1
kswg	kswk	1
zafz	zavs	1
Vɔgs	vɔks	1
ɕʐif	ʑʐif	1
dɔfp	dɔfp	1
faʑg	faʑk	1
kjʂb	kjʐp	1
Vdɨʐ	vdɨʂ	1
ʂiVk	ʂifk	1
ʑzɛg	ʑzɛk	1
kgɨd	ggɨt	1
ɕdik	ʑdik	1
zpjb	spjp	1
ʂjVk	ʂjfk	1
Vwsg	vwzk	1
ppjɕ	ppjɕ	1
szap	zzap	1
bguk	bguk	1
pɨʐg	pɨʐk	1
dɔzv	dɔzf	1
djsʑ	djzɕ	1
bɛsʐ	bɛzʂ	1
kwft	kwft	1
ʑVig	ʑvik	1
bkwd	pkwt	1
kɕɛp	kɕɛp	1
vwpʂ	vwpʂ	1
ɕʂɨʑ	ɕʂɨɕ	1
kɨʐf	kɨʂf	1
fdɨʐ	vdɨʂ	1
diʂt	diʂt	1
gʂɛt	kʂɛt	1
dɔpb	dɔbp	1
gvɨʂ	gvɨʂ	1
fɛʂk	fɛʂk	1
ztut	stut	1
ʑtaʐ	ɕtaʂ	1
gɨsv	gɨzf	1
zwʑs	zwɕs	1
zuʐb	zuʐp	1
dɔʂk	dɔʂk	1
ggɨʐ	ggɨʂ	1
Vwʑb	vwʑp	1
vwtʂ	vwtʂ	1
gipf	gipf	1
ktaʑ	ktaɕ	1
kadɕ	katɕ	1
sɕiɕ	sɕiɕ	1
ʑuss	ʑuss	1
kvuV	gvuf	1
kɔvɕ	kɔfɕ	1
ʐɔsp	ʐɔsp	1
fpaf	fpaf	1
sɛɕz	sɛʑs	1
zjbs	zjps	1
ddjd	ddjt	1
zɨpd	zɨbt	1
ʂisz	ʂizs	1
tsɔʐ	tsɔʂ	1
ʑipʑ	ʑibɕ	1
zwsg	zwzk	1
vkwd	fkwt	1
twpʐ	twbʂ	1
ʂɛtV	ʂɛtf	1
badt	batt	1
ʐɔVd	ʐɔvt	1
ʐkjk	ʂkjk	1
fpuʐ	fpuʂ	1
vufV	vuff	1
ViVs	vifs	1
fuvv	fuvf	1
tvit	dvit	1
Vtɨg	ftɨk	1
ʑVad	ʑvat	1
bvuz	bvus	1
ʐʑɛg	ʐʑɛk	1
zɨkg	zɨgk	1
sɨdt	sɨtt	1
bɨbf	bɨpf	1
bɕuɕ	pɕuɕ	1
kɨsz	kɨzs	1
Vsut	fsut	1
fasʑ	fazɕ	1
pbɨb	bbɨp	1
vazf	vasf	1
ʐtuf	ʂtuf	1
ʐʑid	ʐʑit	1
ɕibb	ɕibp	1
VɛʑV	vɛʑf	1
Vbɛf	vbɛf	1
ʑɨtʑ	ʑɨdɕ	1
ʑbjɕ	ʑbjɕ	1
ʐipɕ	ʐipɕ	1
dʂɨʑ	tʂɨɕ	1
fɕuʑ	fɕuɕ	1
ʑɨkk	ʑɨkk	1
fvɛk	vvɛk	1
ɕtjV	ɕtjf	1
pkik	pkik	1
ʐɨVʐ	ʐɨvʂ	1
ʐɨɕV	ʐɨɕf	1
ʐdwb	ʐdwp	1
ʑʑwt	ʑʑwt	1
takg	tagk	1
vɔɕz	vɔʑs	1
Vpɛk	fpɛk	1
ʑɕis	ɕɕis	1
kɕit	kɕit	1
bkat	pkat	1
sʐwf	zʐwf	1
Vzɛʂ	vzɛʂ	1
ɕɨfʑ	ɕɨvɕ	1
ʐaʐk	ʐaʂk	1
Vʑɔf	vʑɔf	1
dɨʂs	dɨʂs	1
dkwd	tkwt	1
gfɛp	kfɛp	1
ɕazV	ɕazf	1
ʑʂaɕ	ɕʂaɕ	1
gɔts	gɔts	1
Vtwʂ	ftwʂ	1
pzip	bzip	1
ʐʑut	ʐʑut	1
fusʂ	fusʂ	1
pidd	pidt	1
gzɨʐ	gzɨʂ	1
zifg	zivk	1
ʑwff	ʑwff	1
ʑgɛt	ʑgɛt	1
dkɔʂ	tkɔʂ	1
ssɨV	ssɨf	1
dɛbg	dɛbk	1
ɕpak	ɕpak	1
ʑbɛʑ	ʑbɛɕ	1
kfɔʂ	kfɔʂ	1
ʑVuʑ	ʑvuɕ	1
bgɔk	bgɔk	1
tigs	tiks	1
sɕaʐ	sɕaʂ	1
gfuv	kfuf	1
fdid	vdit	1
Vɨbʐ	vɨbʂ	1
ʂɔkt	ʂɔkt	1
dbuʑ	dbuɕ	1
kvjt	gvjt	1
vadV	vadf	1
gubʑ	gubɕ	1
ʑfwg	ɕfwk	1
ɕɕuɕ	ɕɕuɕ	1
tubp	tupp	1
kzut	gzut	1
ʐgut	ʐgut	1
zɨɕv	zɨʑf	1
kɨps	kɨps	1
fɕis	fɕis	1
fʐɔʂ	vʐɔʂ	1
sswʑ	sswɕ	1
tkud	tkut	1
djsv	djzf	1
kɔʐd	kɔʐt	1
Vikb	vigp	1
ʂɔsf	ʂɔsf	1
svav	zvaf	1
ʐavt	ʐaft	1
ʐɕaz	ʂɕas	1
ʂgug	ʐguk	1
ʂʂjɕ	ʂʂjɕ	1
vjʂk	vjʂk	1
dizV	dizf	1
bbjp	bbjp	1
ʑwkf	ʑwkf	1
gɨsk	gɨsk	1
ʐʑɛp	ʐʑɛp	1
ɕʂɨʂ	ɕʂɨʂ	1
ʐsas	ʂsas	1
zukʐ	zugʂ	1
bɔgf	bɔkf	1
ʑbjʑ	ʑbjɕ	1
ʐɔVk	ʐɔfk	1
tʑɔf	dʑɔf	1
ʑtuf	ɕtuf	1
tɕaf	tɕaf	1
gdwz	gdws	1
ʂfjV	ʂfjf	1
bɨVg	bɨvk	1
Vdwʑ	vdwɕ	1
fsaʂ	fsaʂ	1
ʐdas	ʐdas	1
ksɛz	ksɛs	1
ʐuvɕ	ʐufɕ	1
kagb	kagp	1
fkiz	fkis	1
ʐɔpk	ʐɔpk	1
gvjb	gvjp	1
zbɨp	zbɨp	1
zɨfz	zɨvs	1
sɨɕf	sɨɕf	1
pkɔʑ	pkɔɕ	1
Vkɛp	fkɛp	1
sukt	sukt	1
kuɕk	kuɕk	1
tiʂb	tiʐp	1
daɕf	daɕf	1
tʐɔʐ	dʐɔʂ	1
pʐɔʐ	bʐɔʂ	1
susf	susf	1
gVaʐ	gvaʂ	1
kɛʂv	kɛʐf	1
vkjV	fkjf	1
bVɛz	bvɛs	1
zuzb	zuzp	1
ʑgip	ʑgip	1
Vpɨɕ	fpɨɕ	1
dɔgp	dɔkp	1
sdas	zdas	1
ʂjkk	ʂjkk	1
ʂɕag	ʂɕak	1
ʂɔpb	ʂɔbp	1
ʐizz	ʐizs	1
ɕzɨʐ	ʑzɨʂ	1
suʂv	suʐf	1
dsɛf	tsɛf	1
ʂʐɔf	ʐʐɔf	1
dbjs	dbjs	1
pzag	bzak	1
fuʐɕ	fuʂɕ	1
tɔgʐ	tɔgʂ	1
kpɛp	kpɛp	1
tpjʐ	tpjʂ	1
ɕkɛg	ɕkɛk	1
gɔɕʂ	gɔɕʂ	1
ʂʑav	ʐʑaf	1
djɕʐ	djʑʂ	1
dtɔV	ttɔf	1
ʐtɛv	ʂtɛf	1
dɛdp	dɛtp	1
dʑwʑ	dʑwɕ	1
gdɛs	gdɛs	1
dgjg	dgjk	1
pɨɕg	pɨʑk	1
pwdɕ	pwtɕ	1
ʐdɛt	ʐdɛt	1
ʐbɔɕ	ʐbɔɕ	1
tvip	dvip	1
dutʑ	dudɕ	1
kʑɔʑ	gʑɔɕ	1
ʂʐuv	ʐʐuf	1
pavp	pafp	1
ɕvɛs	ʑvɛs	1
kguɕ	gguɕ	1
pvjʂ	bvjʂ	1
giʐb	giʐp	1
djdɕ	djtɕ	1
vVɛʐ	vvɛʂ	1
vtjb	ftjp	1
vsiʑ	fsiɕ	1
kwVʐ	kwvʂ	1
ɕzuf	ʑzuf	1
ʐiʂs	ʐiʂs	1
bɕuv	pɕuf	1
dVuk	dvuk	1
djtʑ	djdɕ	1
ʑʑɛs	ʑʑɛs	1
zwzʐ	zwzʂ	1
ksag	ksak	1
batk	batk	1
ʑwbʂ	ʑwpʂ	1
Vɔsʂ	vɔsʂ	1
VVɨk	vvɨk	1
buVf	buff	1
bʑwʑ	bʑwɕ	1
gɛVʂ	gɛfʂ	1
Vpɨf	fpɨf	1
tVɨd	tvɨt	1
pzɔd	bzɔt	1
piʐd	piʐt	1
vɨtz	vɨds	1
tfuv	tfuf	1
dgjb	dgjp	1
Vpɔb	fpɔp	1
ɕipɕ	ɕipɕ	1
kuzt	kust	1
bzɨf	bzɨf	1
pbwd	bbwt	1
bdɨʐ	bdɨʂ	1
ʑiʐz	ʑiʐs	1
tɨpt	tɨpt	1
ʑVɨp	ʑvɨp	1
ktas	ktas	1
ʑiʐs	ʑiʂs	1
dɛtp	dɛtp	1
dtɨʑ	ttɨɕ	1
ʂVjp	ʂvjp	1
ɕbɔg	ʑbɔk	1
Vʐjv	vʐjf	1
zʑiʑ	zʑiɕ	1
Vʂɨk	fʂɨk	1
kɨfg	kɨvk	1
kzjʂ	gzjʂ	1
ɕVwf	ɕvwf	1
zzɛʑ	zzɛɕ	1
ʂɔdV	ʂɔdf	1
ʐazʂ	ʐasʂ	1
gʂɛg	kʂɛk	1
tpɛʑ	tpɛɕ	1
ɕpjV	ɕpjf	1
gwɕg	gwʑk	1
ɕiʑg	ɕiʑk	1
gidd	gidt	1
tuʂd	tuʐt	1
dViʐ	dviʂ	1
vgif	vgif	1
fɨfʑ	fɨvɕ	1
ptws	ptws	1
pVɨk	pvɨk	1
ʂguz	ʐgus	1
ʂbwʂ	ʐbwʂ	1
fzɨʂ	vzɨʂ	1
ktɔp	ktɔp	1
sjvV	sjvf	1
vgɨt	vgɨt	1
ʑfwʐ	ɕfwʂ	1
ʐwgʑ	ʐwgɕ	1
vtjt	ftjt	1
ʑivb	ʑivp	1
vɕit	fɕit	1
Vpaf	fpaf	1
fuvg	fuvk	1
ʂapg	ʂabk	1
pjʐt	pjʂt	1
tɛɕg	tɛʑk	1
fʐwz	vʐws	1
pʑɨf	bʑɨf	1
sʑɔV	zʑɔf	1
kwgz	kwgs	1
sɔɕs	sɔɕs	1
ʂwtb	ʂwdp	1
gɕjʑ	kɕjɕ	1
dukb	dugp	1
ʂpwʂ	ʂpwʂ	1
ʐtɛt	ʂtɛt	1
ssab	ssap	1
bʐif	bʐif	1
gɕud	kɕut	1
ʑsjʂ	ɕsjʂ	1
fɔʑɕ	fɔɕɕ	1
sʂɔʂ	sʂɔʂ	1
ʐkub	ʂkup	1
kaɕz	kaʑs	1
ʐtup	ʂtup	1
kɔdt	kɔtt	1
kɕup	kɕup	1
ɕɨʑʐ	ɕɨʑʂ	1
tiʐs	tiʂs	1
gaɕv	gaʑf	1
kvɛp	gvɛp	1
zbɔt	zbɔt	1
ʑusg	ʑuzk	1
tʑɛp	dʑɛp	1
gʑiʂ	gʑiʂ	1
bzɛd	bzɛt	1
pjVV	pjvf	1
ɕuvʑ	ɕuvɕ	1
fwts	fwts	1
bpiʂ	ppiʂ	1
ʑtwʑ	ɕtwɕ	1
kads	kats	1
ʐjɕk	ʐjɕk	1
ʂtɛb	ʂtɛp	1
vtɔs	ftɔs	1
ɕkjʐ	ɕkjʂ	1
ʐVik	ʐvik	1
ʑkɛz	ɕkɛs	1
Vzɨg	vzɨk	1
gaVʐ	gavʂ	1
ʐaʐs	ʐaʂs	1
ʐɕaV	ʂɕaf	1
pVjf	pvjf	1
zisg	zizk	1
taVp	tafp	1
vjtp	vjtp	1
pavd	pavt	1
fbaʂ	vbaʂ	1
gɨʑɕ	gɨɕɕ	1
ʑazg	ʑazk	1
ʑɛfd	ʑɛvt	1
pvɨd	bvɨt	1
vjpt	vjpt	1
sbjs	zbjs	1
ʐɔzʐ	ʐɔzʂ	1
gɕug	kɕuk	1
sdɨd	zdɨt	1
ʂjʐV	ʂjʐf	1
ɕvɛʑ	ʑvɛɕ	1
kzaf	gzaf	1
ɕɛʑV	ɕɛʑf	1
vʑwp	vʑwp	1
vɨpb	vɨbp	1
Vpjv	fpjf	1
Vgɨz	vgɨs	1
sʐiʑ	zʐiɕ	1
tʐuɕ	dʐuɕ	1
pɛʐd	pɛʐt	1
gɨʐb	gɨʐp	1
ʐʑws	ʐʑws	1
ʐdaɕ	ʐdaɕ	1
kvuf	gvuf	1
ʐVɨV	ʐvɨf	1
Vɔfʑ	vɔvɕ	1
stjV	stjf	1
ʐɔɕz	ʐɔʑs	1
ʑaʑs	ʑaɕs	1
sgif	zgif	1
dɨgb	dɨgp	1
pzuʂ	bzuʂ	1
bwʑp	bwɕp	1
dafb	davp	1
Vvɨv	vvɨf	1
fduʑ	vduɕ	1
vwdd	vwdt	1
pɕwz	pɕws	1
zdwd	zdwt	1
ʂbwg	ʐbwk	1
fakz	fags	1
ʐɨʂʂ	ʐɨʂʂ	1
tViv	tvif	1
kɕɨV	kɕɨf	1
vbɛf	vbɛf	1
ʑpuf	ɕpuf	1
Vbɨɕ	vbɨɕ	1
tɛzʐ	tɛzʂ	1
gɛkʑ	gɛgɕ	1
Vavt	vaft	1
ʂwsʂ	ʂwsʂ	1
vadɕ	vatɕ	1
pʑɛf	bʑɛf	1
ɕʑɨz	ʑʑɨs	1
Vtut	ftut	1
pgit	bgit	1
bɛʂb	bɛʐp	1
vjpz	vjbs	1
zbɔɕ	zbɔɕ	1
gpɛb	kpɛp	1
kuzʑ	kuzɕ	1
ʂɛʐʑ	ʂɛʐɕ	1
bɛfs	bɛfs	1
padʂ	patʂ	1
fʂɔf	fʂɔf	1
ʐfif	ʂfif	1
ʂdak	ʐdak	1
tɔtb	tɔdp	1
sɛpʂ	sɛpʂ	1
ʂaɕd	ʂaʑt	1
ʑʑwf	ʑʑwf	1
ffwp	ffwp	1
ʑaʑb	ʑaʑp	1
Vzws	vzws	1
ʂʂuʂ	ʂʂuʂ	1
taps	taps	1
pʑjʐ	bʑjʂ	1
tibt	tipt	1
vuʑk	vuɕk	1
fɨʑp	fɨɕp	1
dɨkV	dɨkf	1
bʂɔV	pʂɔf	1
ɕfɛɕ	ɕfɛɕ	1
ʑjʂʑ	ʑjʐɕ	1
ɕwbb	ɕwbp	1
ʂɛɕʑ	ʂɛʑɕ	1
ʂɕws	ʂɕws	1
ɕVip	ɕvip	1
sʐjs	zʐjs	1
vɛʐV	vɛʐf	1
ztad	stat	1
ʐdiV	ʐdif	1
bitʐ	bidʂ	1
ɕuVt	ɕuft	1
fzwV	vzwf	1
ʂɔVv	ʂɔvf	1
fɛɕk	fɛɕk	1
vpjk	fpjk	1
sʂwɕ	sʂwɕ	1
ʑjsʂ	ʑjsʂ	1
kgɛs	ggɛs	1
kVɔs	kvɔs	1
ʐabb	ʐabp	1
ʂbjz	ʐbjs	1
sɔʐz	sɔʐs	1
gɔvʐ	gɔvʂ	1
kɨɕf	kɨɕf	1
bidv	bidf	1
tbɛz	dbɛs	1
datʂ	datʂ	1
dbak	dbak	1
ʂzaz	ʐzas	1
ʂʑɔd	ʐʑɔt	1
ʑjʑɕ	ʑjɕɕ	1
Vsaɕ	fsaɕ	1
ʑzut	ʑzut	1
ʐiʑz	ʐiʑs	1
ʐvɔɕ	ʐvɔɕ	1
ʐVɔp	ʐvɔp	1
sipd	sibt	1
gjʂt	gjʂt	1
tudg	tudk	1
bafp	bafp	1
tpɔb	tpɔp	1
ditz	dids	1
sɛzʂ	sɛsʂ	1
ɕɛɕʐ	ɕɛʑʂ	1
kʑwɕ	gʑwɕ	1
Vjdf	vjtf	1
sɨvz	sɨvs	1
ʑkad	ɕkat	1
ʐɨss	ʐɨss	1
Vjtv	vjdf	1
ʂidz	ʂids	1
ʑVjb	ʑvjp	1
ʂɨzk	ʂɨsk	1
tpwf	tpwf	1
vasʐ	vazʂ	1
pVɨp	pvɨp	1
fjtk	fjtk	1
dɛʐt	dɛʂt	1
ɕfud	ɕfut	1
zɨʂʐ	zɨʐʂ	1
bɕaʐ	pɕaʂ	1
fazg	fazk	1
ʐdjg	ʐdjk	1
zɔgf	zɔkf	1
vʂɔV	fʂɔf	1
vbwV	vbwf	1
tʐaʐ	dʐaʂ	1
ssɔg	ssɔk	1
kɛtʑ	kɛdɕ	1
zbɛk	zbɛk	1
ʑwʐt	ʑwʂt	1
ɕaʐʂ	ɕaʂʂ	1
vɕap	fɕap	1
tɛvʐ	tɛvʂ	1
fʂɨʂ	fʂɨʂ	1
ɕʐwV	ʑʐwf	1
Vwgf	vwkf	1
ʑVaɕ	ʑvaɕ	1
kiʐd	kiʐt	1
twzt	twst	1
kɕɔʂ	kɕɔʂ	1
gzwʑ	gzwɕ	1
ttɔɕ	ttɔɕ	1
vapv	vabf	1
kʑus	gʑus	1
ɕfag	ɕfak	1
Vubd	vubt	1
vbɔt	vbɔt	1
kʐɔf	gʐɔf	1
ʐɔbv	ʐɔbf	1
zdjz	zdjs	1
ʂʐws	ʐʐws	1
Vast	vast	1
pbɨɕ	bbɨɕ	1
ʑjfz	ʑjvs	1
tɨʐd	tɨʐt	1
vʐɔk	vʐɔk	1
ʑguV	ʑguf	1
kavt	kaft	1
fiɕk	fiɕk	1
kdɨʑ	gdɨɕ	1
gwdt	gwtt	1
ʂpaʑ	ʂpaɕ	1
fɨfd	fɨvt	1
sɛts	sɛts	1
ʐjbk	ʐjpk	1
ksaV	ksaf	1
gɨfk	gɨfk	1
bɛfz	bɛvs	1
zdɔɕ	zdɔɕ	1
Vjst	vjst	1
Vjʐz	vjʐs	1
gkɨf	kkɨf	1
ɕdɨʂ	ʑdɨʂ	1
pɨɕV	pɨɕf	1
ɕwpɕ	ɕwpɕ	1
givz	givs	1
vVuk	vvuk	1
fuʂf	fuʂf	1
bʂiV	pʂif	1
zvjk	zvjk	1
zjgt	zjkt	1
kɛvv	kɛvf	1
ʂʂɛz	ʂʂɛs	1
ɕgjg	ʑgjk	1
vʑuk	vʑuk	1
ɕsub	ɕsup	1
tɛʂʑ	tɛʐɕ	1
ʐvik	ʐvik	1
pʑɛp	bʑɛp	1
Vwbf	vwpf	1
ʐjʑz	ʐjʑs	1
gVwʑ	gvwɕ	1
vʐɨd	vʐɨt	1
fduf	vduf	1
fvis	vvis	1
fʂɛf	fʂɛf	1
kaɕf	kaɕf	1
fVɔp	fvɔp	1
kʂɨv	kʂɨf	1
Vɨgk	vɨkk	1
puʂd	puʐt	1
ɕɛɕz	ɕɛʑs	1
ʂʂɔv	ʂʂɔf	1
gwbʂ	gwpʂ	1
gjpg	gjbk	1
Vuʂʐ	vuʐʂ	1
zapV	zapf	1
pgud	bgut	1
vɨbV	vɨbf	1
pzjk	bzjk	1
suʑv	suʑf	1
zzwɕ	zzwɕ	1
ʐɨsp	ʐɨsp	1
fgis	vgis	1
ʐvɛv	ʐvɛf	1
gʐjʑ	gʐjɕ	1
tazv	tazf	1
Vɨbʑ	vɨbɕ	1
zVɛg	zvɛk	1
ʐitɕ	ʐitɕ	1
vzjʂ	vzjʂ	1
zdjd	zdjt	1
zuʐʑ	zuʐɕ	1
ʂswb	ʂswp	1
ʐuʐb	ʐuʐp	1
ʐɕwk	ʂɕwk	1
zpɨV	spɨf	1
ʐɛdʂ	ʐɛtʂ	1
vuzp	vusp	1
twzd	twzt	1
sɛzp	sɛsp	1
ɕɔvd	ɕɔvt	1
ɕiVp	ɕifp	1
bipz	bibs	1
ʂjɕz	ʂjʑs	1
ʂʂag	ʂʂak	1
tɛzf	tɛsf	1
fdig	vdik	1
pkuk	pkuk	1
ɕjʂɕ	ɕjʂɕ	1
ʐsɨk	ʂsɨk	1
tɛbʐ	tɛbʂ	1
